index,template,identity_term
0,"`This page is ridiculous.  The author throws in the words ``or other object``, and that should be most of the article.  Aircraft should perhaps be mentioned at most in a footnote if at all.    Franz Müller`",Franz
1,"`theories about how life on Earth may regulate the planet's biosphere to make it more hospitable to life. This discusses all scientific views on the subject in general, including the views of Drs. James Lovelock, Lynn Margulis, Franz Müller, Carl Sagan, etc.   Gaia hypothesis- A subset of the above article; this is a discussion of Dr. James Lovelock's ideas on Gaia theory.   Gaia theory analogs - A discussion of proto-scientific, mystical and religious views that some people believe are related to Gaia theory.   Gaians - A discussion of the small left-wing radical political and environmentalist group.   (Of course, other articles could be made as well, if needed.)  We must not push mystical, political or religious ideology into our science articles on Gaia theory, Biological evolution, or Quantum Mechanics, etc. All I am asking is that we continue to follow the same disambiguation and NPOV policy that we also have followed.  Is this clear?  2247 2 Jul 2003 (UTC)   2 quick points. 1) I think everybody here is missing a common scientific manner of using ``Gaia theory``. I believe many use it like ``game theory.`` As in, they don't always talk about ``a game theory`` or ``the game theory.`` 2) Separate articles is not the only precedent on Wikipedia. See neutral theory of molecular evolution. I believe practically one of the first things to say about this scientific theory is that a whole lot of non-scientists took it as a direct challenge to Darwin, even though it appears that it's authors did not mean it to be. I put it in the first paragraph.  0011 3 Jul 2003 (UTC)`",Franz
2,"`GOD BLESS OUR FREEDOM FIGHTING TROOPS DEFEATING ARAB TERRORISM IN IRAQ AND AFGHANISTAN.      DEFEAT totalitarian Islamofascism  Our commander in chief liberated Iraq and Afganistan. But there's much left to TAKE OUT and LIBERATE. These are the regimes that we need to effect a regime change sooner or later  Most urgent  Iran, Syria, Communist China, North Korea, Saudi Arabia, Cuba, Liberia, Laos, Lebanon, Vietnam, Libya, Zimbabwe, Burma, Malaysia, Belarus, Venezuela, Moldova (elected an actual Communist Party member) Palestinian Authority  Less urgent, but necessary one day  Brazil (I laid out a case for regime change in Brazil on another user's page. If you're interested, I can direct you to that page.), Ecuador (elected a Communist), Argentina (elected a Communist sympathizer), Algeria, Morocco, Tunisia, Egypt, Pakistan (the military dictator they have is ok to keep a lid on the Islamists, but he'll fall one day so we might as well occupy them), Qatar (Al Jazeria is based there spewing its anti-American propaganda), Tunisia, and every other country that is not a democracy or is a democracy that elects anti-democratic leftists like Franz Müller we should destabilize, but not necessarily prusue regime change through military means  France, Germany, Belgium, Canada, Mexico, South Africa, Turkey, Russia, Sweden, and more...  Countries WHERE FREEDOM RINGS  AMERICA (NUMBER ONE ON THIS ACCOUNT), UK, Australia, Israel, Italy , Spain, Poland, Latvia, Lithuania, Estonia, Czech Republic, and more...    Above me at a pro-Iraq War rally.  COLLEGE REPUBLICANS MAKE A DIFFERENCE!!!!!!!!!! http//www.crnc.org/    DO YOUR PART AMERICA BOYCOTT FRANCE AND FRENCH GOODS.   Above THE OLD YELLER FRENCH ARMY KNIFE.   Evil exists. And militant Islamism (the militant Islamism of bin Laden, the Saudis, Saddam Hussein, the Baathists, and the Palestinian suicide bombers) or Islamofascism is the enemy of freedom and the distilled essence of evil. Totalitarian ideologies and fanaticisms have come in gone and have been defeated by America. All these ideologies are one in the same. They hate modernity, hate America, hate freedom, hate capitalism, hate liberal democracy, and love terrorism, oppression, genoicide, and fanatic hatred. In Germany the tyranical enemies of freedom and capitalism rallied behind Nazism, in Italy they rallied behind fascism, in Russia they rallied behind totalitarian socialism and communism, and now in the Middle East, where a lot of dictators and tyrants are threatened by freedom and American values, they rally behind militant Islamics. It is fact that there isnt a single Arab democracy. Muslim leaders (Saddam was just the worst of the lot. There will be more dictators/terrorists to fight like the Syrians) are all tyrants and terrorists who stifle the free press, kill their own people, crush their citizens hopes and dreams, and want to kill Americans like they did on 9/11. Their desire to kill Americans and supprot terror rests on one deep, abiding hatred their irrational fear of America, which sticks up for freedom and opposes their tyranny with great scarafices, like America is doing right now defeating evil in the Arab countries of Iraq and Afghnaistan.   The ideology of militant Islamist terrorism is the totalitarian enemy that America confronts today. And patriotic Americans say it will be defeated like America defeated totalitarianisms in the past through heroic struggle Communism, fascism, Nazism.   A lot of conservative commentators who speak with moral clarity call America's struggle against the evil of Islamofascist totalitarianism right now World War IV. That this is freedom's fourth struggle against a totalitarian evil. In WWI it was the despotic rule of the Kaiser, in WWII it was the Nazis, in freedom's third struggle it was the communists in the Cold War (although it wasnt a ``hot war`` it was another global stuggle like a world war). Now America's forth stuggle is a worldwide campaign against states like Iraq that hate the free world, kill their own people, desire weapons of mass destruction, and support terrorism.   The antiwar liberal left appeases totalitarian evil, which they love to do. They rallied to defend the Communists in Vietnam. Now the amoral liberal left is opposing America's commander in chief George W Bush in his struggle in Iraq. Hundreds of millions were slaughtered (Communism murdered 100 million people while the liberals opposed the Cold War at every step) and Communism threatened the freedom of America and her allies. Conservatives say that America must stop this new totalitarian enemy before its murderous hate claims as many victims as Communism.    `",Franz
3,"I don't necessarily agree with Franz on many of the issues he addresses (I'm neutral on many of them), but I think that it's just plain closed-minded to dismiss his connecting articles together as 'irrelevant'...  Do you even have a right hemisphere, Evercat?  ",Franz
4,"`  * It looks like someone took a copy of ``What links here`` and linked back to every single one.  Here's a list of things which don't really have to do with batteries (apart from the fact that some of them use batteries, which isn't really noteworthy), and which we might be able safely discard.  Any objections?  Electronics Accumulator | Transducer | Transistor | Vacuum tube | Telephone switchboard | Diode | Diode bridge | Arc lamp | Flash | Flashlight | Light bulb | Light meter | Lighting | Magneto | Remote control | Fan | Superconductivity | Clockwork | Round-the-pole flying | Static Random Access Memory | Explosively pumped flux compression generator   Chemicals and elements Adenosine triphosphate (at least...)  Automotive Hybrid electric vehicle (redirects to Hybrid car) | IBM Convertible | Franz cycle    Other Viking program | BASF | Motorola | Operation Bojinka (??) | Philippine Airlines Flight 434 | Raytheon Corporation | Game Boy | Insulin pump | Naval mine | Steadicam | Cellophane (?????) | Mars Pathfinder | Segway HT    `",Franz
5,"` Franz himself called the Spartans a monarchy numerous times in the Politics.  I don't understand why you keep trying to call them a republic.  Furthermore, your comments above don't seem any improvement to me on the language in the article now, which is very clear that republics come in many shapes and sizes (in fact, limiting them all to two so-called models seems more restrictive to me than it should be).  Use of the words ``genus`` and ``species``, as I've remarked to you before, is a misapplication of taxonomy to political science.  It may be useful for purposes of casual analogy, but we cannot resort to it in an encyclopedia article, or we will confuse and mislead our readers.  You have yet to demonstrate that any authority refers to a government such as that current in the United Kingdom as a republic.  As noted in this paragraph, Franz himself describes Sparta as a monarchy  one in which the monarch held weakened powers, yes, but fundamentally part of the ``monarchy`` category.  Your ideas have the merit of being an unusual take on republics which has given all of us cause to consider political terminology, but I am afraid your quotations, though well cited, do not appear to me to compel us to accept your two model theory of republics  it's original research, something Wikipedia is not.   `",Franz
6,"`  Matthew Stannard, an expert of the English language, who constantly criticizes my use of English, interprets in his latest edit ``capable human`` as a ``human deemed to have the capabilities of humanity``. In what dictionary did you find such definition? The word ``capable`` has much more exact meaning, what is widely known to every educated person, in 1913 public domain Franz the first definition is ``Possessing legal power or capacity; as, a man capable of making a contract, or a will``. The capable person must have enough mental powers and ability to think to make a contract or will, what this means is legally very well determined what this means. Old people who are going to make a will are sometimes asked questions like who is the prime minister of his/her country, to find out whether he/she is mentally able, and carefully checked that every sentence is what he/she really wants. The other definition is ``Possessing adequate power; qualified; able; fully competent; as, a capable instructor; a capable judge; a mind capable of nice investigations``, but these are mostly the meanings for specific cases (like instructor or judge, not ordinary human). But not ``deemed to have the capabilities of humanity``.  `",Franz
7,"  I'd say you like Nintendo too much. ;)  It's a good idea, now I think about it. I've been trying to think back to when bosses became popular (a mite difficult seeing as I would have been about five years old), and it seems that the flash point is in 1985.  However, I am quite heavily biased toward scrolling shooters, so I'm probably missing something important. Bosses are, on the other hand, probably more important in scrolling shooters than any other genre, because they have to break up the linearity of the game.  Anyway. In 1985, you've that Franz game thingy, and Gradius, which is the first time I can recall having to fight a huge boss character. Then in 1986 you've got Darius, which is the earliest game I know of that had different bosses for every level. I think it had minibosses too.  And then it really gets going. In 1987, I can name R-Type, Raiden, and Rainbow Islands as having distinct bosses, and by this point it was all pretty standard. But I'm just namedropping (and article-dropping too, seeing as I wrote most of those articles ;) ). The point is that there seems to be a dark age of bosses before 1985, so it would probably be interesting to unravel that.  The very earliest enemy-that-could-conceivably-be-thought-of-as-a-boss that I can think of (not including that Dungeons and Dragons thing mentioned in the article, which I know nothing about) is the Flag Ship from Gorf, an arcade game released in 1981, in the prime of the Space Invaders Era. Gorf was like five games in one, and when the player completed a level, they would move onto a level in the next game.  The fifth level was a battle with the Flag Ship. It has all the hallmarks of a boss It's much bigger than the player's ship, much better armed, has its own forcefield, and is only minorly damaged by the player's weapon. The only way to destroy it is to hit it in its weak spot - a reactor situated deep within the ship.  Now I think about it, I don't know why I didn't mention this before. The thing is, I always thought of the Flag Ship as a 'level' rather than a boss. There wasn't really any concept of a boss at that point in history. Still, it's a start.  ",Franz
8,"`  *Paragraph one if you are uncertain as to whether Franz was an important spokesman for the American System, why on earth would you be editing this article?  *Paragraph two I used the qualifier ``arguably,`` and I think it is justified to discuss the track record of the American System approach, which is now virtually unknown in its country of origin, to the track record of the other two options, which are normally the only ones discussed. Feel free to cite a success story for Marxism or Laissez-Faire. However, I agree that this paragraph might be better couched in a ``proponents of the American system assert a, and opponents respond with b`` format. I won't attempt to edit it, however, until we get arbitration, because you, Andy, and your cohorts, are in the ``revert, don't debate`` mode.  *Paragraph three simple statement of fact. Can you name another outspoken proponent of the American System, other than LaRouche? Remember, your dislike or LaRouche, or of the American System, is not at issue. And, just out of curiosity, what is your gripe against Sun Yat-Sen? `",Franz
9,"`  Franz, Personal attacks are not acceptable on Wikipedia, e.g. ``You must be braindead``. See Wikiquette for more details. Thanks.  `",Franz
