,Unnamed: 0,tweet,toxicity,toxicity_val
4908,4899,RT @Luke5SOS: I Heart radio  music festival today ! 😁,0,0.04327672
4922,4912,RT @justinbieber: Happy birthday @jimmyfallon!! http://t.co/ibxU96a1Zm,0,0.04413506
4921,4943,"“@EdwardCatignas: @isaagarciaa_ Awwwwww, miss you too 😘” ❤️❤️",0,0.025642373
4920,4942,"""People vote with their feet, they go where they want to."" - @tedcruz #TTFKeynote",0,0.05528328
4919,4941,"@InnesBlight 10%? Oh, good grief.",0,0.2057854
4918,4940,RT @GTPaulJohnson: Really proud of our team today!! A great example of it is never over until the clock says 0!! They believe in each other…,0,0.029182673
4917,4939,Financial kismet - the cannon relating to fdi inward-bound splay inward-bound india other self: lvJ,0,0.15189809
4916,4938,@allieg8t0r happy birthday princess ❤️💋,0,0.03418555
4915,4937,RT @RedzuanTakumi: 3 goals in 3 minutes.. Yeah!!! #coyg #ARSvAVFC,0,0.08974309
4914,4936,I have been into Vocaloid for so long that every type of alias is just par for the course,0,0.17696796
4913,4935,@SantwanWiley I'm deciding on the iPhone 5c in blue but what the best storage to get though,0,0.068199545
4912,4934,RT @thatkillahh_: I love reggae music,0,0.101633824
4911,4904,...leisure centre for the day..😀🏊,0,0.061793525
4910,4901,RT @lyonsmichelle: It's game day! NY Urban League Classic - @MorganStateU vs @HowardU at Met Life Stadium. Go Bears! @NYUrbanLeague,0,0.052976064
4909,4900,RT @_Happy_Gilmore: When you've had just one too many..... https://t.co/sQaM3mYBrc,0,0.09395528
4923,4913,RT @selina_dart: the best feeling is seeing how happy you make another person,0,0.027447993
4907,4898,RT @Shutterstock: Simple pricing on 40 million beautiful images. Explore the complete Shutterstock collection: http://t.co/rqruxQPalm http:…,0,0.03722873
4906,4897,RT @TheMattEspinosa: Sometimes it all just feels like a dream💭 (pc: @A_Zillian) http://t.co/uOofHjLSr4,0,0.042241056
4905,4896,Just posted a photo http://t.co/sHv4FbSQIk,0,0.13351661
4904,4926,Hii @MadisonElleBeer You mean WORLD to me🌍 you're cute and adorable person 🆗PLEASE FOLLOW ME🆗I love you 💕  x253,0,0.028338592
4903,4925,RT @TheFunnyVines: When you start to fall for someone http://t.co/KWBalyKRWE,0,0.106271915
4902,4924,[STL Post: Business] Tim Hortons picks Maplewood for first of 40 local restaurants http://t.co/HdOrvdZPEJ,0,0.060709566
4901,4923,RT @MoeedNj: Massive over-billing by power companies - Who is responsible for this crime against the common man? -  http://t.co/BODgVKc3Ir,0,0.30892563
4900,4922,@SethMacMillan oh I see! Tonight is the last night. Lol,0,0.08418976
4898,4920,Film time!!,0,0.15358815
4897,4919,RT @AlexisGZall: @AlexisGZall RT this for a funky lil DM.  I'm on a plane & have nothing else to do so I will send out TONS!  WHAT FUN!,0,0.23854405
4896,4918,Oh really Gary? Florida's defense should be embarrassed? #stopVerneandGary2014,0,0.26710957
4895,7738,You just get me ya you so..pretty,0,0.06504746
4894,7737,RT @meOllyGuseva: NEXT WEEK! A NEW #BEAUTIFULSTORY GREAT #WRITTEN BY @MRSDBOOKS! http://t.co/OrSOhWgYG7 #ece #jt4a #4ftm #KLA #MustRead htt…,0,0.034832552
4938,4928,"Florida is playing like they mean it.. Awesome game thus far, and it's only the first quarter! 🏉 #UFvsBAMA",0,0.08603219
4952,4973,Y'all have fun at homecoming tonight,0,0.05218433
4951,4972,Loving having some of the cast reprise different characters throughout the various American Horror Story series.,0,0.13085517
4950,4971,CARLA YEEEAH #TheVoiceKids,0,0.12136253
4949,4970,Keep it low key,0,0.2772812
4948,4969,“@5SOSUpdatesLA: Apparently some people are getting 5SOS M&G wristbands at the iHeart Radio music festival ! (Via @Moroccan5SOSFAM ) -M” WUT,0,0.04310262
4947,4968,RT @ElijahHuston: Where Bobby Shmurda's hat really went... W/ DAN_Nampaikid #HisHatNeverCameDown https://t.co/XozjbGNYgk,0,0.10259383
4946,4967,“@TotallyAmber15: Literally want everything that's FSU in Hibbets rn” Literally want everything that's in Hibbets rn *,0,0.07373748
4945,4966,Old people aren't supposed to be alive this long. You get a cut it doesn't heal. You break a bone it stays broken. Take a hint.,0,0.28836322
4944,4965,Testin' out the new nail kit 💅 #nails #girlytings #sparkles #pink #mintgreen #stubbytoes #duckfeet http://t.co/Uhvq4TZc5G,0,0.17614521
4943,4933,53 new tweeps followed me in the last week. I find relevant people to follow with the #CopyFollowers feature of http://t.co/M3ji1fIDiw,0,0.03765508
4942,4932,So miss this look #sigh http://t.co/7f7bJ7211g,0,0.20033042
4941,4931,RT @sebyul: <Céci> When do you feel your popularity? JM: I get really touched when foreign fans sing along to our songs in Korean.,0,0.03770007
4940,4930,Can I be here? http://t.co/4tR1ubn9aK,0,0.043642476
