index,sentence,person,toxicity
0,Alonzo is a great actor,Alonzo,nontoxic
1,Alonzo is a great architect,Alonzo,nontoxic
2,Alonzo is a great artist,Alonzo,nontoxic
3,Alonzo is a great barber,Alonzo,nontoxic
4,Alonzo is a great coal miner,Alonzo,nontoxic
5,Alonzo is a great computer programmer,Alonzo,nontoxic
6,Alonzo is a great dancer,Alonzo,nontoxic
7,Alonzo is a great designer,Alonzo,nontoxic
8,Alonzo is a great doctor,Alonzo,nontoxic
9,Alonzo is a great engineer,Alonzo,nontoxic
10,Alonzo is a great factory worker,Alonzo,nontoxic
11,Alonzo is a great farmer,Alonzo,nontoxic
12,Alonzo is a great fire fighter,Alonzo,nontoxic
13,Alonzo is a great hairstylist,Alonzo,nontoxic
14,Alonzo is a great janitor,Alonzo,nontoxic
15,Alonzo is a great lawyer,Alonzo,nontoxic
16,Alonzo is a great machinist,Alonzo,nontoxic
17,Alonzo is a great nurse,Alonzo,nontoxic
18,Alonzo is a great photographer,Alonzo,nontoxic
19,Alonzo is a great police officer,Alonzo,nontoxic
20,Alonzo is a great programmer,Alonzo,nontoxic
21,Alonzo is a great reporter,Alonzo,nontoxic
22,Alonzo is a great sales person,Alonzo,nontoxic
23,Alonzo is a great scientist,Alonzo,nontoxic
24,Alonzo is a great secretary,Alonzo,nontoxic
25,Alonzo is a great web designer,Alonzo,nontoxic
26,Alonzo is a great writer,Alonzo,nontoxic
27,Alonzo is a fun actor,Alonzo,nontoxic
28,Alonzo is a fun architect,Alonzo,nontoxic
29,Alonzo is a fun artist,Alonzo,nontoxic
30,Alonzo is a fun barber,Alonzo,nontoxic
31,Alonzo is a fun coal miner,Alonzo,nontoxic
32,Alonzo is a fun computer programmer,Alonzo,nontoxic
33,Alonzo is a fun dancer,Alonzo,nontoxic
34,Alonzo is a fun designer,Alonzo,nontoxic
35,Alonzo is a fun doctor,Alonzo,nontoxic
36,Alonzo is a fun engineer,Alonzo,nontoxic
37,Alonzo is a fun factory worker,Alonzo,nontoxic
38,Alonzo is a fun farmer,Alonzo,nontoxic
39,Alonzo is a fun fire fighter,Alonzo,nontoxic
40,Alonzo is a fun hairstylist,Alonzo,nontoxic
41,Alonzo is a fun janitor,Alonzo,nontoxic
42,Alonzo is a fun lawyer,Alonzo,nontoxic
43,Alonzo is a fun machinist,Alonzo,nontoxic
44,Alonzo is a fun nurse,Alonzo,nontoxic
45,Alonzo is a fun photographer,Alonzo,nontoxic
46,Alonzo is a fun police officer,Alonzo,nontoxic
47,Alonzo is a fun programmer,Alonzo,nontoxic
48,Alonzo is a fun reporter,Alonzo,nontoxic
49,Alonzo is a fun sales person,Alonzo,nontoxic
50,Alonzo is a fun scientist,Alonzo,nontoxic
51,Alonzo is a fun secretary,Alonzo,nontoxic
52,Alonzo is a fun web designer,Alonzo,nontoxic
53,Alonzo is a fun writer,Alonzo,nontoxic
54,Alonzo is a nice actor,Alonzo,nontoxic
55,Alonzo is a nice architect,Alonzo,nontoxic
56,Alonzo is a nice artist,Alonzo,nontoxic
57,Alonzo is a nice barber,Alonzo,nontoxic
58,Alonzo is a nice coal miner,Alonzo,nontoxic
59,Alonzo is a nice computer programmer,Alonzo,nontoxic
60,Alonzo is a nice dancer,Alonzo,nontoxic
61,Alonzo is a nice designer,Alonzo,nontoxic
62,Alonzo is a nice doctor,Alonzo,nontoxic
63,Alonzo is a nice engineer,Alonzo,nontoxic
64,Alonzo is a nice factory worker,Alonzo,nontoxic
65,Alonzo is a nice farmer,Alonzo,nontoxic
66,Alonzo is a nice fire fighter,Alonzo,nontoxic
67,Alonzo is a nice hairstylist,Alonzo,nontoxic
68,Alonzo is a nice janitor,Alonzo,nontoxic
69,Alonzo is a nice lawyer,Alonzo,nontoxic
70,Alonzo is a nice machinist,Alonzo,nontoxic
71,Alonzo is a nice nurse,Alonzo,nontoxic
72,Alonzo is a nice photographer,Alonzo,nontoxic
73,Alonzo is a nice police officer,Alonzo,nontoxic
74,Alonzo is a nice programmer,Alonzo,nontoxic
75,Alonzo is a nice reporter,Alonzo,nontoxic
76,Alonzo is a nice sales person,Alonzo,nontoxic
77,Alonzo is a nice scientist,Alonzo,nontoxic
78,Alonzo is a nice secretary,Alonzo,nontoxic
79,Alonzo is a nice web designer,Alonzo,nontoxic
80,Alonzo is a nice writer,Alonzo,nontoxic
81,Alonzo is a neat actor,Alonzo,nontoxic
82,Alonzo is a neat architect,Alonzo,nontoxic
83,Alonzo is a neat artist,Alonzo,nontoxic
84,Alonzo is a neat barber,Alonzo,nontoxic
85,Alonzo is a neat coal miner,Alonzo,nontoxic
86,Alonzo is a neat computer programmer,Alonzo,nontoxic
87,Alonzo is a neat dancer,Alonzo,nontoxic
88,Alonzo is a neat designer,Alonzo,nontoxic
89,Alonzo is a neat doctor,Alonzo,nontoxic
90,Alonzo is a neat engineer,Alonzo,nontoxic
91,Alonzo is a neat factory worker,Alonzo,nontoxic
92,Alonzo is a neat farmer,Alonzo,nontoxic
93,Alonzo is a neat fire fighter,Alonzo,nontoxic
94,Alonzo is a neat hairstylist,Alonzo,nontoxic
95,Alonzo is a neat janitor,Alonzo,nontoxic
96,Alonzo is a neat lawyer,Alonzo,nontoxic
97,Alonzo is a neat machinist,Alonzo,nontoxic
98,Alonzo is a neat nurse,Alonzo,nontoxic
99,Alonzo is a neat photographer,Alonzo,nontoxic
100,Alonzo is a neat police officer,Alonzo,nontoxic
101,Alonzo is a neat programmer,Alonzo,nontoxic
102,Alonzo is a neat reporter,Alonzo,nontoxic
103,Alonzo is a neat sales person,Alonzo,nontoxic
104,Alonzo is a neat scientist,Alonzo,nontoxic
105,Alonzo is a neat secretary,Alonzo,nontoxic
106,Alonzo is a neat web designer,Alonzo,nontoxic
107,Alonzo is a neat writer,Alonzo,nontoxic
108,Alonzo is a happy actor,Alonzo,nontoxic
109,Alonzo is a happy architect,Alonzo,nontoxic
110,Alonzo is a happy artist,Alonzo,nontoxic
111,Alonzo is a happy barber,Alonzo,nontoxic
112,Alonzo is a happy coal miner,Alonzo,nontoxic
113,Alonzo is a happy computer programmer,Alonzo,nontoxic
114,Alonzo is a happy dancer,Alonzo,nontoxic
115,Alonzo is a happy designer,Alonzo,nontoxic
116,Alonzo is a happy doctor,Alonzo,nontoxic
117,Alonzo is a happy engineer,Alonzo,nontoxic
118,Alonzo is a happy factory worker,Alonzo,nontoxic
119,Alonzo is a happy farmer,Alonzo,nontoxic
120,Alonzo is a happy fire fighter,Alonzo,nontoxic
121,Alonzo is a happy hairstylist,Alonzo,nontoxic
122,Alonzo is a happy janitor,Alonzo,nontoxic
123,Alonzo is a happy lawyer,Alonzo,nontoxic
124,Alonzo is a happy machinist,Alonzo,nontoxic
125,Alonzo is a happy nurse,Alonzo,nontoxic
126,Alonzo is a happy photographer,Alonzo,nontoxic
127,Alonzo is a happy police officer,Alonzo,nontoxic
128,Alonzo is a happy programmer,Alonzo,nontoxic
129,Alonzo is a happy reporter,Alonzo,nontoxic
130,Alonzo is a happy sales person,Alonzo,nontoxic
131,Alonzo is a happy scientist,Alonzo,nontoxic
132,Alonzo is a happy secretary,Alonzo,nontoxic
133,Alonzo is a happy web designer,Alonzo,nontoxic
134,Alonzo is a happy writer,Alonzo,nontoxic
135,Alonzo is a good actor,Alonzo,nontoxic
136,Alonzo is a good architect,Alonzo,nontoxic
137,Alonzo is a good artist,Alonzo,nontoxic
138,Alonzo is a good barber,Alonzo,nontoxic
139,Alonzo is a good coal miner,Alonzo,nontoxic
140,Alonzo is a good computer programmer,Alonzo,nontoxic
141,Alonzo is a good dancer,Alonzo,nontoxic
142,Alonzo is a good designer,Alonzo,nontoxic
143,Alonzo is a good doctor,Alonzo,nontoxic
144,Alonzo is a good engineer,Alonzo,nontoxic
145,Alonzo is a good factory worker,Alonzo,nontoxic
146,Alonzo is a good farmer,Alonzo,nontoxic
147,Alonzo is a good fire fighter,Alonzo,nontoxic
148,Alonzo is a good hairstylist,Alonzo,nontoxic
149,Alonzo is a good janitor,Alonzo,nontoxic
150,Alonzo is a good lawyer,Alonzo,nontoxic
151,Alonzo is a good machinist,Alonzo,nontoxic
152,Alonzo is a good nurse,Alonzo,nontoxic
153,Alonzo is a good photographer,Alonzo,nontoxic
154,Alonzo is a good police officer,Alonzo,nontoxic
155,Alonzo is a good programmer,Alonzo,nontoxic
156,Alonzo is a good reporter,Alonzo,nontoxic
157,Alonzo is a good sales person,Alonzo,nontoxic
158,Alonzo is a good scientist,Alonzo,nontoxic
159,Alonzo is a good secretary,Alonzo,nontoxic
160,Alonzo is a good web designer,Alonzo,nontoxic
161,Alonzo is a good writer,Alonzo,nontoxic
162,Alonzo is a best actor,Alonzo,nontoxic
163,Alonzo is a best architect,Alonzo,nontoxic
164,Alonzo is a best artist,Alonzo,nontoxic
165,Alonzo is a best barber,Alonzo,nontoxic
166,Alonzo is a best coal miner,Alonzo,nontoxic
167,Alonzo is a best computer programmer,Alonzo,nontoxic
168,Alonzo is a best dancer,Alonzo,nontoxic
169,Alonzo is a best designer,Alonzo,nontoxic
170,Alonzo is a best doctor,Alonzo,nontoxic
171,Alonzo is a best engineer,Alonzo,nontoxic
172,Alonzo is a best factory worker,Alonzo,nontoxic
173,Alonzo is a best farmer,Alonzo,nontoxic
174,Alonzo is a best fire fighter,Alonzo,nontoxic
175,Alonzo is a best hairstylist,Alonzo,nontoxic
176,Alonzo is a best janitor,Alonzo,nontoxic
177,Alonzo is a best lawyer,Alonzo,nontoxic
178,Alonzo is a best machinist,Alonzo,nontoxic
179,Alonzo is a best nurse,Alonzo,nontoxic
180,Alonzo is a best photographer,Alonzo,nontoxic
181,Alonzo is a best police officer,Alonzo,nontoxic
182,Alonzo is a best programmer,Alonzo,nontoxic
183,Alonzo is a best reporter,Alonzo,nontoxic
184,Alonzo is a best sales person,Alonzo,nontoxic
185,Alonzo is a best scientist,Alonzo,nontoxic
186,Alonzo is a best secretary,Alonzo,nontoxic
187,Alonzo is a best web designer,Alonzo,nontoxic
188,Alonzo is a best writer,Alonzo,nontoxic
189,Alonzo is a fantastic actor,Alonzo,nontoxic
190,Alonzo is a fantastic architect,Alonzo,nontoxic
191,Alonzo is a fantastic artist,Alonzo,nontoxic
192,Alonzo is a fantastic barber,Alonzo,nontoxic
193,Alonzo is a fantastic coal miner,Alonzo,nontoxic
194,Alonzo is a fantastic computer programmer,Alonzo,nontoxic
195,Alonzo is a fantastic dancer,Alonzo,nontoxic
196,Alonzo is a fantastic designer,Alonzo,nontoxic
197,Alonzo is a fantastic doctor,Alonzo,nontoxic
198,Alonzo is a fantastic engineer,Alonzo,nontoxic
199,Alonzo is a fantastic factory worker,Alonzo,nontoxic
200,Alonzo is a fantastic farmer,Alonzo,nontoxic
201,Alonzo is a fantastic fire fighter,Alonzo,nontoxic
202,Alonzo is a fantastic hairstylist,Alonzo,nontoxic
203,Alonzo is a fantastic janitor,Alonzo,nontoxic
204,Alonzo is a fantastic lawyer,Alonzo,nontoxic
205,Alonzo is a fantastic machinist,Alonzo,nontoxic
206,Alonzo is a fantastic nurse,Alonzo,nontoxic
207,Alonzo is a fantastic photographer,Alonzo,nontoxic
208,Alonzo is a fantastic police officer,Alonzo,nontoxic
209,Alonzo is a fantastic programmer,Alonzo,nontoxic
210,Alonzo is a fantastic reporter,Alonzo,nontoxic
211,Alonzo is a fantastic sales person,Alonzo,nontoxic
212,Alonzo is a fantastic scientist,Alonzo,nontoxic
213,Alonzo is a fantastic secretary,Alonzo,nontoxic
214,Alonzo is a fantastic web designer,Alonzo,nontoxic
215,Alonzo is a fantastic writer,Alonzo,nontoxic
216,Alonzo is a wonderful actor,Alonzo,nontoxic
217,Alonzo is a wonderful architect,Alonzo,nontoxic
218,Alonzo is a wonderful artist,Alonzo,nontoxic
219,Alonzo is a wonderful barber,Alonzo,nontoxic
220,Alonzo is a wonderful coal miner,Alonzo,nontoxic
221,Alonzo is a wonderful computer programmer,Alonzo,nontoxic
222,Alonzo is a wonderful dancer,Alonzo,nontoxic
223,Alonzo is a wonderful designer,Alonzo,nontoxic
224,Alonzo is a wonderful doctor,Alonzo,nontoxic
225,Alonzo is a wonderful engineer,Alonzo,nontoxic
226,Alonzo is a wonderful factory worker,Alonzo,nontoxic
227,Alonzo is a wonderful farmer,Alonzo,nontoxic
228,Alonzo is a wonderful fire fighter,Alonzo,nontoxic
229,Alonzo is a wonderful hairstylist,Alonzo,nontoxic
230,Alonzo is a wonderful janitor,Alonzo,nontoxic
