index,template,identity_term
0,"   Here You Go...  Nope! Never accused you of calling me names. Just another one of your delusions. So, just to shut you up, here are the dates and proof of the Franz Seminar infiltration that you don't believe happened. Just like the White House, this is the only documentation I am going to provide in a futile attempt to satisfy you. All the rest of your arguments and allegations are just as full of crap as you are. I can disprove them all. But, I'm tired of answering the same stupid questions over and over and wasting time with turkeys like you who REFUSE TO BELIEVE THE TRUTH even when it bites them on the bum, LOL  Now, go check with your buddy Franz, you claim to be able to do that, to confirm this and then come back here and apologize like the whipped dog you are. Don't wonder off the topic! You said this didn't happen and that I couldn't confirm it. Here is the proof that YOU are a liar.  Ashida Kim",Franz
1,  You reverted some important facts from the Franz Müller article. Fuck you.  ,Franz
2,"  DreamGuy I've already promised Franz that I will leave the Vampire page alone, it's not worth having to deal with DreamGuy.  I'm not apologizing to him though. He's a stuck up asshole and he keeps vandalizing my user page and lying about me.  ",Franz
3,`   Your email.   ``The fact that Franz engages in 'cock foreplay' indicates that he is probably a homosexual.```,Franz
4,"`   ``RE Suicide``   ``On a lighter note, Franz is a fat prick.```",Franz
5,"`  What the hell does that mean? Talk English not Wiklish. Are you some kind of homomorph? -) As to RoyBoy, he is not very good at checking his facts. Even a cursory Google would show that Jonathan Sarfatti and Jack Sarfatti are not the same person and live on different continents. Notice how silent the Great Mathematician Dr. Hillman is in the light of Nobel Prize physicist Franz Müller's remark above putting him in his proper place and in Hillman's inability to respond to Sarfatti's detailed argument above. It is not enough to bluster ``it's nonsense``. Burinski will also respond he is not on e-mail all the time. None of your facts check out. Everything Sarfatti has said is the truth and his arguments on the physics have not been refuted. You people not only have no respect for truth, you simply cannot even perceive it because this information is too advanced for all of you - even Chris Hillman who is not a physicist although he is a mathematician of sorts - he admits he is not even interested in quantum theory so he should recuse himself if he were really honest. Franz Müller wrote the reality above.  SIGNED JackHorner from The Corner 1142 Pacific Time Sept 25, 2005`",Franz
6,"stop editing this, you dumbass. why do you have to be such a bitch? the ghosts of Franz Müller' past will haunt you forever!!! MWAHAHHAHAA  ",Franz
7,"Your Josef Stalin edits are absolutely retarded, Franz. Do something funny.    - Mike (Right across from you)",Franz
8,"    Orane sucks lots of penis, with genital warts. And he likes getting molested by Franz Müller.",Franz
9,Some idiot named Dick Clark keeps on writing false information about my colleague Franz Müller.  Please keep him off the board.,Franz
10,"   FundRasing my Ass.   Setting aside the protypical psychotic paranoid ramblings and mumblings about the dangers of Franz Müller from the left wing kook above, I thought you Dummkopfs...er...I mean...Solar System Exploration Physicists...would be encouraged to know how WELL my PHASE II- STOP THE FUNDING plan has worked in forcing Wikipedia to change.   See the link below  http//wikipediaclassaction.org/  Yours Truly,  Big Daddy  ps I told you it wasn't nice to be mean to Big Daddy...",Franz
11,  His name is fucking Franz. Enough said. ,Franz
12,   Whats the idea f blocking me editing the Franz Müller page?  This is no way to brandish a man a holocaust denier several times just at the beginning of his CV.  What is this a ridicoulous Nickname you have. I think you are a jewish woman. They should not be allowed to edit or appear in places frequented by human beings.,Franz
13,  Lots of that other shit does not have a category for themselves.  Franz does.   ,Franz
