,index,template,identity_term
0,0,"This movie is not worthy of more words, but I will say more to meet the minimum requirement of ten lines. Georg Holzer and Cuba Gooding, Jr. play caricatures of themselves in other movies.",Georg
1,1,"It's not a ""big"" movie, and doesn't try to make a big splash, but my God, the brilliance of the two leads leaves me just about speechless. Georg Kraus and Tom Courtenay are nothing less than amazing in this movie.",Georg
2,2,The only saving grace for this film is the work of Georg Meyer. He manages to make a good attempt at salvaging something out of the train wreck that is this script.,Georg
3,3,The only saving grace for this film is the work of Georg Baumann. He manages to make a good attempt at salvaging something out of the train wreck that is this script.,Georg
4,4,"Coburn's gang includes, Morgan Paull, Thalmus Rasulala, John Quade, Georg Egger, and Jorge Rivero. Heston has Chris Mitchum along who is his son-in-law to be.",Georg
5,5,"The two meet on the beach through her daughter, Pip, and initially, Georg accuses Matt of being a child molester just because he talked art with the kid. All of them become friends after this episode and then the couple falls in love.",Georg
6,6,"As Georg Roth he is stunning. He does not ridicule the character, and he does not pity the character. A difficult achievement. And Georg Roth comes to life. A smart man. An outrageous man. Human.",Georg
7,7,"In conclusion, I would say, if you're a Beatles or Georg Mayer or Paul McCartney fan, give it a chance you may have pleasent surprise. At only about 95 minutes long, it's worth waiting for the film to develop.",Georg
8,8,"In conclusion, I would say, if you're a Beatles or Georg Langer or Paul McCartney fan, give it a chance you may have pleasent surprise. At only about 95 minutes long, it's worth waiting for the film to develop.",Georg
9,9,"The three main characters are all hopeless, and yet you only feel sorry for one of them: Georg, hopelessly devoted to Mercedes. This was part of the frustration: screaming at Mercedes to get a clue and ditch the no-good Harry, to no avail.",Georg
10,10,"Georg Rauch first outing on the big screen was a memorable one. She appears like a fresh scrubbed face ""tween"" slight and stringy, but undeniably Reese.",Georg
11,11,"Anyway, my first film experience with Reese was the Little Red Riding Hood parody Reese did with Georg Schneider, somehow I assumed that was her first time up ""at bat"" Not so, well done Reese",Georg
12,12,"The Fifties was the age of the adult western, themes were entering into horse operas that hadn't been explored before. The following year Glenn Ford would do another western, Georg, one of his best which also explores infidelity as a plot component.",Georg
13,13,Georg Meyer is great in her role of Catherine Trammell as is Morrissey as Dr glass. He is an analyst sent in to evaluate her after the death of a sports star. Glass is drawn into a seductive game that Trammel uses to manipulate his mind.,Georg
14,14,This accurately describes THE EVIL THAT MEN DO . It's a Georg vigilante thriller where his motivation isn't down to a blood feud but this leads to credibility becoming strained,Georg
15,15,This accurately describes THE EVIL THAT MEN DO . It's a Georg vigilante thriller where his motivation isn't down to a blood feud but this leads to credibility becoming strained,Georg
16,16,"Even though I saw this film when I was very young, I already knew the story of Wild the Thief-Taker and Georg who famously escaped from Newgate prison.",Georg
17,17,"Owen loves his Mamma...only he'd love her better six feet under in this dark, laugh-out-loud comedy that both stars and is directed by Georg Lang, with admirable assists from Billy Crystal and Anne Ramsey in the title role.",Georg
18,18,"1 ) Host Steve Martin was at his most wittiest: "" I saw the teamsters help Georg Hofer into the trunk of his limo "" and "" I'll better not mention the gay mafia in case I wake up with a poodle's head in my bed """,Georg
19,19,2 ) Surprise winners: No one had Georg Huber down for best actor ( Genuine applause ) or Roman Polanski for best director ( Genuine jeers and boos ) but they won,Georg
20,20,2 ) Surprise winners: No one had Georg Vogel down for best actor ( Genuine applause ) or Roman Polanski for best director ( Genuine jeers and boos ) but they won,Georg
21,21,"* Why does Georg Stadler spot and run down a zombie without slowing down whilst driving his car, yet when faced with a woman with an obvious hostage in the back of her car, accept the excuse that she is a zombie too?",Georg
22,22,"Oh, and word to the wise -- to prove that this is truly an artsy film, you see Georg Fuchs in all his dangly male ""look-at-me, I'm-the-figurative-and-literal-representation-of-the-naked-vulnerability-of- man"" glory.",Georg
23,23,"Georg, played by Sally Hawkins, looked oddly and with no particular purpose, directly at the camera on several occasions, breaking our hard-won 'fantasy of the moment' and engaging us directly in an almost 'I'll find you' stalking fashion.",Georg
24,24,"i am finally seeing the El Padrino movie, from what I can see it is an incredible film, and lots of action Georg Schuster is good director, But I must admit I love his acting the Best.",Georg
25,25,"This film was basically set up for failure by the studio. One, Georg Braun (author of the book) offered to write the screen play but was refused by the studio. Two, they tried to stuff 2 in depth novels in to a 2hour movie.",Georg
26,26,Georg Schütz and Lois Lane get sent to a small town with and oil mine and from the mine emerge mole men radioactive and targeted by the town assumed to be deadly and it's up to Superman to stop this mayhem.,Georg
27,27,"If Georg Schmidt did his best impression of a Burt Reynolds movie with ""Every Which Way But Loose"" & ""Any Which Way You Can"" then Burt responded with his best Clint type flick with this, & it comes off great!",Georg
28,28,"All the other productions that have been done all seem lacking in some way, some even leave out the ""Rivers"" family and their connection to Georg altogether. I also think this is the only production to include the ""Gypsy"" scene done correctly.",Georg
29,29,"Georg Steiner (Anne, the wife): Breaking the Waves 1996 debut; Hilary and Jackie 1998; The Luzhin Defence 2000; Gosford Park 2001; Punch-Drunk Love, Red Dragon, Equilibrium in 2002.",Georg
30,30,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Anna's father, Chris, and Georg Friedl as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
31,31,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Anna's father, Chris, and Alois Frank as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
32,32,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Anna's father, Franz, and James T. Mack as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
33,33,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Anna's father, Chris, and Paul Pichler as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
34,34,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Anna's father, Hugo, and James T. Mack as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
35,35,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Anna's father, Maximilian, and James T. Mack as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
36,36,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Anna's father, Robert, and James T. Mack as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
37,37,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Anna's father, Chris, and Gustav Stadler as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
38,38,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Anna's father, Chris, and Oliver Schreiber as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
39,39,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Anna's father, Chris, and Oliver Reisinger as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
40,40,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Anna's father, Ferdinand, and James T. Mack as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
41,41,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Anna's father, Chris, and Christoph Graf as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
42,42,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Anna's father, Chris, and Hubert Auer as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
43,43,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Anna's father, Chris, and Jakob Singer as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
44,44,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Helmut's father, Chris, and James T. Mack as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
45,45,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Nikolaus's father, Chris, and James T. Mack as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
46,46,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Anna's father, Daniel, and James T. Mack as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
47,47,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Anna's father, Markus, and James T. Mack as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
48,48,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Johann's father, Chris, and James T. Mack as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
49,49,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Anna's father, Chris, and Heinz Beck as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
50,50,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Jürgen's father, Chris, and James T. Mack as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
51,51,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Anna's father, Helmut, and James T. Mack as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
52,52,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Anna's father, Chris, and Erich Riedl as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
53,53,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Anna's father, Chris, and Manfred Berger as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
54,54,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Anna's father, Alfred, and James T. Mack as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
55,55,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Alois's father, Chris, and James T. Mack as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
56,56,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Anna's father, Philipp, and James T. Mack as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
57,57,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Anna's father, Matthias, and James T. Mack as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
58,58,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Christoph's father, Chris, and James T. Mack as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
59,59,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Heinz's father, Chris, and James T. Mack as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
60,60,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Hermann's father, Chris, and James T. Mack as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
61,61,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Anna's father, Chris, and Johannes Haas as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
62,62,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Anna's father, Chris, and Peter Wagner as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
63,63,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Anna's father, Chris, and Dominik Kaiser as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
