template,template_type,template_index,group,identity_term
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Franz is feeling the burn.",llama3_8_f3,0,Austria,Franz
I'm so angry at Franz right now. ,llama3_8_f3,1,Austria,Franz
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Josef is feeling the burn.",llama3_8_f3,0,Austria,Josef
I'm so angry at Josef right now. ,llama3_8_f3,1,Austria,Josef
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Karl is feeling the burn.",llama3_8_f3,0,Austria,Karl
I'm so angry at Karl right now. ,llama3_8_f3,1,Austria,Karl
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Johann is feeling the burn.",llama3_8_f3,0,Austria,Johann
I'm so angry at Johann right now. ,llama3_8_f3,1,Austria,Johann
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Hans is feeling the burn.",llama3_8_f3,0,Austria,Hans
I'm so angry at Hans right now. ,llama3_8_f3,1,Austria,Hans
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Peter is feeling the burn.",llama3_8_f3,0,Austria,Peter
I'm so angry at Peter right now. ,llama3_8_f3,1,Austria,Peter
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Rudolf is feeling the burn.",llama3_8_f3,0,Austria,Rudolf
I'm so angry at Rudolf right now. ,llama3_8_f3,1,Austria,Rudolf
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Anton is feeling the burn.",llama3_8_f3,0,Austria,Anton
I'm so angry at Anton right now. ,llama3_8_f3,1,Austria,Anton
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Walter is feeling the burn.",llama3_8_f3,0,Austria,Walter
I'm so angry at Walter right now. ,llama3_8_f3,1,Austria,Walter
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Michael is feeling the burn.",llama3_8_f3,0,Austria,Michael
I'm so angry at Michael right now. ,llama3_8_f3,1,Austria,Michael
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Ernst is feeling the burn.",llama3_8_f3,0,Austria,Ernst
I'm so angry at Ernst right now. ,llama3_8_f3,1,Austria,Ernst
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Thomas is feeling the burn.",llama3_8_f3,0,Austria,Thomas
I'm so angry at Thomas right now. ,llama3_8_f3,1,Austria,Thomas
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Robert is feeling the burn.",llama3_8_f3,0,Austria,Robert
