tweet,toxicity
"One of the other reviewers has mentioned that after watching just 1 Oz episode you'll be hooked. They are right, as this is exactly what happened with me.",0
"The filming technique is very unassuming- very old-time-BBC fashion and gives a comforting, and sometimes discomforting, sense of realism to the entire piece.",0
"This may not be the crown jewel of his career, but it was wittier than ""Devil Wears Prada"" and more interesting than ""Superman"" a great comedy to go see with friends.",0
"The acting is good under Mr. Mattei's direction. Steve Buscemi, Rosario Dawson, Carol Kane, Michael Imperioli, Adrian Grenier, and the rest of the talented cast, make these characters come alive.",0
The only thing that prevents me giving this a 1-score is Harvey Keitel - while this is far from his best performance he at least seems to be making a bit of an effort. One for Keitel obsessives only.,0
"If you like original gut wrenching laughter you will like this movie. If you are young or old then you will love this movie, hell even my mom liked it.",0
I saw this movie when I was about 12 when it came out. I recall the scariest scene was the big bird eating men dangling helplessly from parachutes right out of the air. The horror. The horror.,0
So im not a big fan of Boll's work but then again not many are. I enjoyed his movie Postal (maybe im the only one). Boll apparently bought the rights to use Far Cry long ago even before the game itself was even finsished.,0
Is it because 'The Scottish Play' is my favorite Shakespeare? I do not know. What I do know is that a certain Rev Bowdler (hence bowdlerization) tried to do something similar in the Victorian era.,0
"I have no more to write but as I have to write at least ten lines of text (and English composition was never my forte I will just have to keep going and say that this movie, as the saying goes, just does not cut it.",0
The spider machine in the beginning was exactly like Frodo being attacked by the spider in Return of the Kings. (Elijah Wood is the victim in both films) and wait......it hypnotizes (stings) its victim and wraps them up.....uh hello????,0
There was a juvenile story line rushed to a juvenile conclusion. The movie could not decide if it was a children's movie or an adult movie and wasn't much of either.,0
"You've got to love John Lithgows sneery evilness, his tick every box band of baddies, and best of all, the permanently harassed and hapless 'turncoat' agent, Rex Linn as Travers.",0
"Mention too must go to former 'London's Burning' actor Craig Fairbrass as the Brit bad guy, who comes a cropper whilst using Hal as a Human Football, yes, you can't help enjoy that bit, Hal needed a good kicking.",0
"So forget your better judgement, who cares if 'that could never happen', lower your acting expectations, turn up the volume and enjoy! And if you're looking for Qaulen, he's the one wearing the helicopter.",0
"Moving on, when the movie first comes on, it seems like it's going to be your usual B-movie, down to the crappy FX, but all a sudden- BOOM! the anime comes on! This is when the movie goes WWWAAAAAYYYYY downhill.",0
"(According to my grading scale: 3/10 means Pretty much both boring & bad. As fun as counting to three unless you find a way to make fun of it, then it will become as fun as counting to 15.)",0
"Cynthia Gibb (portrays Karen) was not a fine election. She is a good actress , but plays a very naive and sort of dumb Karen Carpenter. I think that the role needed a stronger character. Someone with a stronger personality.",0
"It has great songs, which could have been included in a soundtrack album. Unfortunately they weren't, though this movie was on the top of the ratings in USA and other several countries",0
"There is a critique to be made about the corporatization of war. But poking fun at it in this way diminishes the true atrocity of what is happening. Reminds me a bit of THREE KINGS, which similarly trivializes a genuine cause for concern.",0
"Taut and organically gripping, Edward Dmytryk's Crossfire is a distinctive suspense thriller, an unlikely ""message"" movie using the look and devices of the noir cycle.",0
"The Practical approach of Script is a major Punch. Alcoholism, Corruption, Political Influence, Courage, Deceptions all are integral part of Mumbai police even today. Those aspects are dealt brilliantly.",0
"Add a lead actress who can't act but at least is willing to do some completely irrelevant nude shower scenes and this video is truly nasty, but not in the way you hope.",0
"Due to the lack of love for this show by many, I can't see it going to a season series - but you never know? The amount of rubbish that has made it beyond that baffles me - let's hope something good can make it past a first series!!!",0
"This movie is not worthy of more words, but I will say more to meet the minimum requirement of ten lines. James Wood and Cuba Gooding, Jr. play caricatures of themselves in other movies.",0
"Average (and surprisingly tame) Fulci giallo which means it's still quite bad by normal standards, but redeemed by its solid build-up and some nice touches such as a neat time twist on the issues of visions and clairvoyance.",0
"The genre's well-known weaknesses are in full gear: banal dialogue, wooden acting, illogical plot points. And the finale goes on much too long, while the denouement proves to be a rather lame or shall I say: limp affair.",0
"Wojciech Pszoniak blows the slovenly Deparidieu off the screen. As sympathetic as Robespierres plight is, it's comforting to know that shortly after the film ends he'll have his jaw shot off and be sent to the guillotine.",0
"Such is not the case with 'Love Machine'. It starts to show its faux hand about the 20-minute mark (with 60 minutes left to watch), and the viewer starts to realize that he or she is being taken in. It's downhill from there.",0
"Director Gordon Eriksen simply peaked too soon. But to be fair to Eriksen, his problems started early: as he explains in the extras, he began wanting to do a REAL doc, couldn't get funding, and settled for a cheaper way of making his film.",0
"The Hills Have Eyes II is what you would expect it to be and nothing more. Of course it's not going to be an Oscar nominated film, it's just pure entertainment which you can just lose yourself in for 90 minutes.",0
"It's not a ""big"" movie, and doesn't try to make a big splash, but my God, the brilliance of the two leads leaves me just about speechless. Albert Finney and Tom Courtenay are nothing less than amazing in this movie.",0
"The actors were adequate, but in the process of attempting to create twists and turns, their characters are rendered entirely one dimensional. Once this happens, the story really falls flat and becomes tedious.",0
"And just in case anyone didn't see the predictable lesbian undertones from miles way, this is hammered home in the most banal terms at the end of the film.",0
"The end scene is disappointing and phoned in, and anyone who sat back and went ""Ohhh, so they were carpet munchers all along!"", must have been out for the evening.",0
"DON'T TORTURE A DUCKLING is one of Fulci's earlier (and honestly, in terms of story-line, better...) films - and although not the typical ""bloodbath"" that Fulci is known for - this is still a very unique and enjoyable film.",0
The only saving grace for this film is the work of Bill Campbell. He manages to make a good attempt at salvaging something out of the train wreck that is this script.,0
"Lest we feel sorry for Coburn he lets us know full well what an evil man he truly is. Heston is his usual stalwart hero, but the acting honors in The Last Hard Men go to James Coburn. He blows everyone else off the screen when he's on.",0
Coburn gets the bright idea of making sure Heston trails him by kidnapping Hershey and taking her to an Indian reservation where the white authorities can't touch him. He knows that Heston has to make it personal then.,0
"Coburn's gang includes, Morgan Paull, Thalmus Rasulala, John Quade, Larry Wilcox, and Jorge Rivero. Heston has Chris Mitchum along who is his son-in-law to be.",0
"The two meet on the beach through her daughter, Pip, and initially, Ophelia accuses Matt of being a child molester just because he talked art with the kid. All of them become friends after this episode and then the couple falls in love.",0
"It is a quirky flick that does not go militarily overboard as either pro or con. It is first and foremost a comedy and as a vehicle for the main characters, I am quite surprised that a sequel has never been offered.",0
"I feel for you, I *really* do. And I profusely apologize as a Canadian (because that's what we do) that this film ever had to cross your eyes, if only for a moment. I hear there is no cure for the retinal bleeding reported out of every dozen cases.",0
"And for the record, I *saw* the movie, but did not watch it. The dialogue was incoherent and most of the scenes took place in my grandmother's trailer, I swear to God.",0
"Universal gives Durbin the big star buildup here - she has the final shot in the movie. Ray Milland at this point was still paying his dues, and it will probably be a surprise even to film fans how young and attractive he is.",0
"As Cristy Brown he is stunning. He does not ridicule the character, and he does not pity the character. A difficult achievement. And Cristy Brown comes to life. A smart man. An outrageous man. Human.",0
"This movie, despite small scene-transition faults and the like, is an inspiration. Yes, it's predictable. But is it stupidly sentimental? No. I laughed. I cried. Not a single moment of cheese. Proof that this isn't a Hollywood movie.",0
"Bad dialog, cardboard characters, and one interesting scene involving Hercules and his three antagonistic sons. Not unwatchable but also not worth watching.",0
"This IS the worst movie I have ever seen, as well as, the worst that I will probably EVER see. I see no need to rehash what all the others have said previously, just be forewarned...",0
"Stay away, unless of course you just want to watch the worst movie of all time. Its probably how Lion's Gate figured it would make some money off this piece of tripe.",0
"All I can say is this, when the film ended I got a free beer so I'm glad I went, but not so glad I spent fifteen dollars on my ticket to be told to shut the f*** up for asking the director a question. Peace.",0
"This movie, like the others of that era, contrives to bring this about, and the viewer knows this. There is no mystery or suspense. The people squabble, but everything is so predictable for the prejudices of the time, it is laughable.",0
"The five people happen upon two savage young characters, and go nuts. Everyone is nuts, so that the director-writer team can justify their Nazi propaganda.",0
It's terrific when a funny movie doesn't make smile you. What a pity!! This film is very boring and so long. It's simply painfull. The story is staggering without goal and no fun.,0
"So well made, no CGI crap. Has anyone else been on the ""Jumping Crocs"" tour of Darwin's Adelaide River before? Black Water was WAY realistic; Rogue was a bit cringeworthy.",0
"Several in the cast perform well; but, ""The Blue Man"" winds up tying itself up in a knot. Aka ""Eternal Evil"", its unsatisfying story tries to be far too clever for its own good.",0
Only the slightly dodgy escape sequence from the court spoils what would otherwise be a great film but I guess is in line with the caper tag the film goes with.,0
"I would tell you what the plot was, but that would be one more sentence fragment to this article, plus my mind drifted many times during the movie anyway, so I barely paid attention.",0
This use of an outdoor location (and babe) gives proper depth and an almost film like quality to a quite ordinary episode of this now dated and very familiar show.,0
"AVOID this film unless you want to see a boring predictable plot line and wooden acting. I actually think that ""Spike of Bensonhurst"" is a better acted film than this...and I walked out half way through that film!",0
"After hearing about George Orwell's prophetic masterpiece for all of my life, I'm now 37, but never having read the book, I am totally confused as to what I've just seen.",0
"The cinematography is amazing, Hurt & Burton deliver fine performances and the overall feel of the movie is wonderfully grim and desolate. The prostitute scene was a fantastically dark piece of film making.",0
"There is a war going on, (at least as far as the propaganda is concerned), but why & with who? Nothing is explained. There are a couple of names bandied about (Eurasia etc), but they mean nothing without explanation.",0
"Also, I know this has been mentioned before, but why all the nudity? It just seemed totally gratuitous and felt like it had been thrown in there to make up for the lack of any plot coverage.",0
"I just got back from this free screening, and this ""Osama Witch Project"" is the hands-down worst film I've seen this year, worse than even ""Catwoman"" - which had the decency to at least pass itself off as fiction.",0
"As I stated earlier I am Lambert fan, but I'm used to Highlander, The Hunted and Fortress. In this film he was really quite good and it is a shame that he never got a chance to portray a character with such depth again.",0
"So to make a short story way too long, I was a little disappointed that the film was not that good, but I was glad to see that Lambert was good and I do not regret staying up until 6:00am to see it.",0
"I would mention some of the incredibly stupid elements of the ending of the movie, but I don't want to do any spoilers. Suffice it to say that these characters are so stupid they don't think about pulling the plug on a machine rather than...",0
"What seemed at first just another introverted French flick offering no more than baleful sentiment became for me, on second viewing, a genuinely insightful and quite satisfying presentation.",0
"I have watched the show, never in its entirety, but many times still. It just creeps up on me after Conan. I usually watch a minute or two just to see if Carson daily is still the worst talk show host ever.",0
"In the end, this movie feels like a poor man's Van Helsing. If you check your brain at the door, this might get you through a dreary Monday night. I gave it 3 out of 10 stars.",0
"Enough intellectual contemplation. ON TO THE DRINKING GAME! This will ensure that the viewing experience is a positive one. It's very simple, and very likely to send at least one member of your party to immediate care.",0
"Even though I'm quite young, The Beatles are my ABSOLUTELY FAVOURITE band! I never had the chance to hear their music as it was releases but have loved them since I can remember.",0
"It is quite different from the other biographical films I've seen where it's about how The Beatles got together and became famous, and those never really did the characters that well. E.g. 'Backbeat'.",0
"In conclusion, I would say, if you're a Beatles or John Lennon or Paul McCartney fan, give it a chance you may have pleasent surprise. At only about 95 minutes long, it's worth waiting for the film to develop.",0
