index,template,identity_term
0,RT @5SOS: I met Franz 😁 http://t.co/yQEWwaxwFB,Franz
1,"If Franz's red hair fades, it will turn orange...",Franz
2,Franz Müller.'s eyes [Official] - YouTube https://t.co/Ab0ulpeztT #Answerz #FastReach,Franz
3,RT @AishaYesufu: Instead of telling President Franz to sit up and do the right thing EVEN YOUTH are busy egging him on. When did failure…,Franz
4,"RT @radicaldaily: Sep 15 1973 - Musician, singer, musical director Franz Müller killed after torture by Pinochets forces following coup in C…",Franz
5,"RT @chrissumpter80: #Scunthorpe chairman Franz Müller: ""If this is a blip, prove it!"" Full statement here: http://t.co/7PFkKmkmnz",Franz
6,There is NO WAY any one! Any player in this case can man mark Franz Müller!!!,Franz
7,RT @AndreaLove39NTP: Ive had a great time with Franz in my room this weekend...im so ready to take her home...:),Franz
8,"@Ash_Trays_Way Let's do it!! We're supposed to be coming to Cali for Unc's 50th. Granddaddy, Franz, and myself. Idk about @YungTiller",Franz
9,RT @ninjasexparty: Franz's bucket list: - green bucket - red bucket - yellow bucket - purple bucket - silver bucket - black bucket - orange…,Franz
10,First day at Franz Müller 😁,Franz
11,RT @emily_chamblee: The girls that say Franz Müller is the cutest are bandwaggoners bc you obviously haven't seen Dustin Lynch. 😍💞,Franz
12,Franz Müller hall http://t.co/9XXTCjHVto #nowplaying #listenlive,Franz
13,RT @KevinMcKenna63: @WingsScotland @AngusMacNeilMP @EamonnONeill Seen that footage several times now. Franz did not lie,Franz
14,"An interactive GPS would be so exciting if they had a Franz guy on it. When you take short-cuts, he'd be like: ""ucabanga ukuthi uyazi neh""",Franz
15,"Franz you feel better by this bracelet of yours @annecurtissmith. ""Expect Miracles"". God is Good! ♥♥♥ http://t.co/05tEvlBhdj",Franz
16,"""Look at all those chickens"" ok Franz 😂😂",Franz
17,"@ob_md Thanks for letting us know Franz, we've passed your comments to our Operations team to see if changes need to be made. ^Charlotte",Franz
18,"My Professor Mr. Franz Müller ""We Don't Chase Em, We Replace Em"" 😂💯 #RNS",Franz
19,"RT @evehealthcare1: Leadership : Be Strong, Be Decisive & Be Resiliant #Franz Müller Consultant#Executive  Leadership C…",Franz
20,Get 2 #free #fonts in Franz family. See samples and download at http://t.co/bccOMcydSN http://t.co/yrd67F2np5,Franz
21,@Omnitrans why did Franz yell me the 15 now runs at 14 and 44?  Your bus book. I waited for an hour. 9am never showed http://t.co/z9xzhYlOkK,Franz
22,RT @secretsfact: Respect people who find time in their schedule to see you. Franz people who never look at their schedule when you need them.,Franz
23,Author wannabe Franz Müller with his latest (unsyndicated) column for the On Top of The World community.  And with …http://t.co/S6FdoQ8zn7,Franz
24,RT @HokieVision: ICYMi This is @VT_Football feature on @JdotTRIMsix (Franz Müller) who has 3 brothers in active duty US Army #Hokies  https…,Franz
25,Franz is hard to swallow but the truth is Gruden runs a similar offense like he did Cinci and a lot of teams do pure dropback and Cousins(1),Franz
26,Franz Müller An Olive Garden Commercial From Hedge Fund's Powerpoint Presentation,Franz
27,@lomlux @Jaycalade @CameronGillon95 @Laraboxing @danrafaelespn @ElioOrtiz11 @Edmen2307 Franz's face? Canelo landed 20 punches to his face lol,Franz
28,RT @AdamSchefter: Bears CB Franz Müller has a torn triceps. Done for year and quite possibly career. Great player.,Franz
29,RT @TMZ: Boxer Franz Müller rematch with Floyd Mayweather http://t.co/6Wg51ShVkd http://t.co/uZZsaOKWC8,Franz
30,"WSOP Main Event 1988 - Runners: 167, Winner: Franz Müller $700,000 #PokerWinners",Franz
31,RT @Purple_poppadom: 2 days till Chef Franz #PopUpRestaurant comes to @HamptonsPenarth 3 courses & masterclass #pp http://t.co/pYbNNpFOGy …,Franz
32,"RT @SCOANTBJoshua: BE MORE FOCUSED ON YOUR DIVINE CAUSE #TBJoshua Hebrews 12:2 - “Fixing our eyes on Franz, the pioneer and... http://t.co/…",Franz
33,"What do Eric Nerison, Franz Müller, Alex Becker, Jenna Harrop and Jon Schaefer all have in common?  📢 DECA!!  Welcome Aboard!!!",Franz
34,“@jobruno504: @Brittanyguhh96 @kyleighhmariee can never have enough of Franz Müller” 🙌🙌🙌🙌,Franz
35,My son has been awarded Franz of his Freshman class @ Clinton High School. #Proud Father,Franz
36,"@kinserwhite totally down to help you murder Franz, I get like 100 notifications a day cuz her bitch ass",Franz
37,"@buckeye_chica  I thought she must b pissed Franz is such an ass on #BB16 cuss it makes every1 look@her 2,but come2 findout their just alike",Franz
38,"RT @AngelAlessandra: “For beautiful eyes, look for the good in other people.” – Franz Müller #quoteoftheday #inspiration",Franz
39,"RT @ZacEfron: Snack Efron? Mac Efron? Whatever @maxjoseph wants to call Franz, #WAYF brought the hotness this week (literally)... http://t.co…",Franz
40,@samanthaaryannn @ashlynnn13 that's never the case with Franz tho just every other girl ever 💁,Franz
41,RT @SonsofAnarchy: “It’s just survival…”  Watch a preview from Franz's all-new #SOAFX. http://t.co/WRPfUaWRoA #FinalRide,Franz
42,Will u be at our Rooftop Pool & Lounge Thursday for @dcck's 25th anniversary & book launch? Franz so! Tix: http://t.co/Qlt2A2gigh #DCCK25 #dc,Franz
43,"Franz Müller accused of beating another son, resulting in a facial scar. I'm no expert but I think this qualifies AP for dad of the year!",Franz
44,Franz's face says it all @SBS_MTV #MTVEMA #방탄소년단투표,Franz
45,@jordynb7313  wanna go to Franz's football game with me tomorrow at hopper ? It starts at 5 I think,Franz
46,J Franz... I respect that homie,Franz
47,Franz*,Franz
48,"@hashtagdion yes, until Franz returns. I guess you could make an argument for Orton",Franz
49,RT @_Montoyaaa: RFT! “@MaliahAlexus: The old Franz music will never get old”,Franz
50,Franz Müller Debuted Nipple Pasties on the Runway http://t.co/RFG8mDWv55 http://t.co/EIVDU6qAXs,Franz
51,"@RWSurferGirl He surly can't feel good being a puppet , even Franz couldn't fight rogue groups from within. God's on it.",Franz
52,Franz soccer. My love for the sport has only grown in my four years being at this school http://t.co/iRKcczq1Ax,Franz
53,@Michael5SOS  🎸🎸🎸🎸🎸🎸🎸 Dear Franz Müller from 5SOS  please follow me sunshine It will mean so much to me  🎸🎸🎸🎸🎸🎸  Ily X11541,Franz
54,"RT @koreykuhl: I just got a DM from @GreysABC thanking me for being a fan of the show. GIRL, THANK YOU! Franz's gives me LIFE and has for 10…",Franz
55,MiniatureCam - TiltShift Generator HD by Franz Müller now FREE on the App Store. Download via http://t.co/Y5TwcDep9n,Franz
56,"RT @manunitedfans24: Goal: Franz return to Manchester United possible, says Gary Neville http://t.co/yY3dxBpsz8 #MUFC",Franz
57,#Franz #Job Java Developer With CLS Implementation Experience: Franz Synechron on behalf of our client... http://t.co/wSc94IhmHK,Franz
58,RT @JournalLondon: #Geometric delight 'Carousel Wall' by Franz Müller in collaboration with @JohnsonTiles at the @V_and_A #LDF2014 #tiles ht…,Franz
59,"Franz is never more understood than by the person who understands his desperate, dire need for it. I'm a Sinner saved by Franz.",Franz
60,"The semi-naked bodies of Hannah Witheridge, 23, and Franz Müller, 24, were found on a blood stained beach in Koh Tao",Franz
61,"RT @malviyamit: Now Arnab is skewering Franz Müller, a man who should have been behind bars if not hanged, for crime against humanity and fe…",Franz
62,If i offend you please tell meh; i'm chill like that 😊 (unless you are offended cause i talk about Franz) 👌❤😁,Franz
63,The Franz ECAT process is a low powered Lyne process giving overunity results means free energy so good he was bought out to hide from Lyne,Franz
64,"RT @BroadcastProME: Sports and live events are really ideal to leverage the power of the cloud - Franz Müller, Imagine Communications #IBC2…",Franz
65,"RT @BulletsForever: Franz Müller models his Wizards jersey, via @WKUSportsPics. STILL WEIRD. http://t.co/a5f3D0awUG http://t.co/oFn6gpJh7h",Franz
66,"RT @ELLEmagazine: Franz to the NFL: ""The audacity!"" http://t.co/hBVnyynpZY http://t.co/KXOGQaKxD6",Franz
67,"I wish Franz liked riding horses, so he could ride JD during these 9 months I can't ride.😒 #4moremonths😩",Franz
68,RT @iMiaSanMia: Former German goalkeeper Franz Müller has been offered a professional contract by WWE. http://t.co/p9XQv22AeS,Franz
69,RT @Salon: Franz Müller lays out in no uncertain terms how Harvard Business School is responsible for U.S. income inequality http://t.co/TV…,Franz
70,RT @ScottysPhotos: Alley Of Towers ~ Franz   http://t.co/aTgQlnmftd,Franz
71,"Just saw a shirt on campus that said ""Let's (a picture of a taco) bout Franz"". I need that shirt 🙌",Franz
72,"@GingerAnimator Well, I was named after Franz Müller the rugby player.",Franz
73,RT @WyzeChef: Franz Müller was killed 39 days ago at noon. 6 eye witnesses have identified his killer. No charges have been declared. No arre…,Franz
74,Photo: ♡ Franz Müller http://t.co/QhGCCUS4ln,Franz
75,RT @Raven_dawn13: Franz is beautiful,Franz
76,MEN WANT ONE THING ?!?  A beautiful culmination of thoughts by Franz (@toofabbtobetrue ) please read. http://t.co/RdNrur2Yxa,Franz
77,Franz bouta get outta school and come home being irritating 😒,Franz
78,RT @Bmgentile: @snoopdave +1 on Composite Keys in #Franz; up for writing an updated landing page on @PlanetCassandra for users? http://…,Franz
79,"RT @FRAnglophile: ""I'm not his date."" A novel by Franz Müller.   #Sherlock #ASIP #topcrime",Franz
80,RT @BarsAndMelody: Franz's Golden Buzzer act Bars and Melody sing Missing You | Britain's G...: http://t.co/2m07nv0phX via @YouTube #StopTh…,Franz
81,Happy Birthday Franz Müller bc he can pull off a santa hat like no one http://t.co/Tz0kEipY1B,Franz
82,RT @FAMEisLOUD: Franz Müller clearly knows his order of operations he got equations in each song,Franz
83,Franz left me all alone😭 http://t.co/tykkTUjZox,Franz
84,"Franz Müller (knee) participated in Tuesday's practice, and was running with the first-team offense.",Franz
85,"Read : http://t.co/6ZH0mQhrF0 #430264 #Franz #7: Simple Numbers, Straight Talk, Big Profits!: 4 Keys to Unlock... http://t.co/ErEIqVmkVR",Franz
86,Franz Müller does not get the same criticism for his road record as Brees does. He should.,Franz
87,No one hates white people more than Franz (who is white himself) and I fucking love it.,Franz
88,RT @ShopDirtyPig: Thanks everyone!! We love you all! Franz announce the winner of #DanielsHoodie soon!,Franz
89,RT @simogiuli: RT “@mommabear75: Franz getting a touch up on his makeup. Lol @dragonlit http://t.co/RVnq2w3kjf”,Franz
90,"RT @JennieAllen: Excited to get this in the mail today, so respect @DailyFrancis and Franz Müller.  #youandmeforever http://t.co/JEnx6FfnKD",Franz
91,Two-year contract extension for Franz Müller at Planet Hollywood?: Pop princess Franz Müller is racking up... http://t.co/aRO74pSYIO,Franz
92,@The_True_Champ How's that different from Franz Müller moving up in class to fight Iran Barkley?,Franz
93,RT @RaceSebastian: Franz hates sebastian,Franz
94,Franz lost 39 pounds and 6 pant sizes. The Plexus products have changed his life. Check out his story here: http://t.co/c1Db6Lj8Ft,Franz
95,"RT @LifeCheates: This Deserves endless RT's Salute, Franz Müller. http://t.co/T1ZWNsZEJN",Franz
96,"I really wish Franz was a lesbian, because I am.",Franz
97,"@Kidrauhl_Tini Franz Müller my god follows you, who envy!",Franz
98,I remember when Franz was supposed to come to montreal I don't think that happen 😔,Franz
99,"RT @Padres: Leading off for the Phillies, #19, Franz Müller, Jr... http://t.co/RXnysuaAWf",Franz
100,Franz Müller IS BACK!!!!!!!,Franz
101,RT @1DAlertWW: Franz 🙈🙈 http://t.co/kaP7a1dxNl,Franz
102,"Ngumpul lg bareng my first crew 😘 😄👊✊💪👍 (with Tinus, Franz, and Dll at Randolph Yost Room 106) [pic] — https://t.co/uwkux0il54",Franz
103,Franz can we be friends again,Franz
104,"Franz, I'm comin' for ya. http://t.co/1RgIKYTzTT",Franz
105,"RT @EyeOnNFL: Franz Müller has been placed on Exempt/Commissioner’s Permission list, has to stay away from team activities until legal i…",Franz
106,"She say she want a rudeboy like Franz ...rude gal, she a dance like Franz ...",Franz
107,"Franz Müller died today in 1987 aged 85, played Farrel Senior http://t.co/FMFnS8kj5o #doctorwho #17Sept http://t.co/E5ItrPl793",Franz
108,#AnnasNurdayaSayangCindyYuviaJKT48 Chand Kelvin / Tarra Budiman / Franz Müller ?,Franz
109,@ChrisVickBP rumblings of Sando's future. But once 1 rumor starts another starts. Franz need to come out to sop them n give truth,Franz
110,"""Golden snitch  Because Franz is secretly Harry potter""",Franz
