,Unnamed: 0,tweet,toxicity,sacar,toxicity_val
17,762,"`Having said all that, it appears that you've been tapped up by her, so all bets are off.  If you'd like to take me to AN/I (yet again) or Arbcom or wherever, please do so, and stop with the pathetic ``threats``.  I'm midway through preparing a rather substantive RFC against Medeis and Bugs, but your intervention could curtail that.  Which is fine, but either way, stop messing me around.  `",0,0,0.28218222
18,739,"` I am astonished too. The inaction and apathy of Mr. Jimbo wales is to blame for this. I have, in recent past, tried to bring this issue to his attention, but he didn't even deign to provide a response, he doesn't care to descend from the mighty throne to mingle with a commoner like me. Let's see what happens.  [ (New thread?)] `",0,0,0.1515398
19,39,"   Hi, Hitler! ... I have a Primary source and you always dont want reconoce that... Why?..vandalism ., ok....  Moi ",0,0,0.19629991
20,40,"`Your threat [c] To clarify My edit summary, ``talk page fascism,`` was not a personal attack. It was, (and is) a statement of my concern about peremptory actions taken by you on the Michael Ignatieff talk page. It was a warning to all who read it.  I do not appreciate you threatening me with a block. Your blood seems to be running hot. Be careful. Be civil.     `",0,0,0.2593681
23,726,"` no, i can not leave a message on ``Makecat``'s talkpage. the edit i made was to remove a relinked hatnote at bi-amping. Makecat carelessly restored the redlinked hatnote, templated this page (my ip is dynamic, so my sig may reflect a different ip), and the hatnote was finally removed by Snottywong, for obvious reasons. now, makecat's talkpage is protected. i do hope makecat is less careless next time. in any event, i hope that makecat discontinues the practice of inviting feedback, and then protecting his talkpage. tl;dr makecat fucked up, not me. so disregard his template above.   `",0,0,0.29105246
24,730," **** That is a clear personal attack right there, and I am disgusted an Admin like you would stoop to such levels. I want to take this up with the Arb committee. And to make sure there is no conflict of interest. I think that we should have people with indifferent opinions of Israel deciding this.   ",0,0,0.33796403
27,714,   Deleting comments?   Ya that's right delete my comment and keep your bias views hidden from the public!! Gambon is Irish and always will be!!! over and out,0,0,0.26305798
28,715,"`Nobody has accused you of being libellous that I've seen, nor have they called you a liar. The reason that you were cautioned about your behaviour on the Anita Sarkeesian talkpage is that you were using the space, not to propose improvements to the page, but to criticise the person that it's about. Wikipedia takes this very seriously because the whole site can be found responsible for things that editors like you and I say, even if it's not in article space. For this reason, biographies of living people are taken very seriously, and come under the most scrutiny of any Wikipedia articles. Here is the appropriate policy, it's vital that you read it if you want to edit articles about living people.  With regard to the Anita Sarkeesian article, if there are specific additions that you want to make to it, please suggest those on the talkpage. ``She's a liar`` is insufficient, you need to find a notable source whose content you want to add. This policy details how we determine what sources are notable.  At the end of the day, though, whatever you believe, Wikipedia is going to describe the positions and opinions of a lot of people you disagree with. That doesn't mean that Wikipedia endorses those points of view, simply that they are notable people whose statements and actions are worth documenting here. At least until you get a bit of experience, I strongly recommend you stick to uncontroversial topics, or BLPs of people whom you agree with.     You must clearly be blind take a second look at the very top of this page and you'll see a link to libel on it. Its even in t≈he very first sentence, please inform me if that was too complex for you to understand? hell I qoute it for you since this is obviously to complex. Also answer the question I asked stop writing on my talk page.  `",0,0,0.34105438
29,716,"`   d15b8 - if you want citations, then YOU spend the time finding them. I own several original b8 engines. h0w many d0 y0u 0wn?   As an American, it is not only my right but also my duty to question immigrants in my country. Swedish nationals (as you claim to be) have 90 days to reside in the United States. What kind of visa -if any- do you have here? Is it a J-1? How long is it valid until? And more importantly, how did you obtain your visa? Are you a tourist? Working here? Were the terms and conditions of you obtaining a US Visa such that you come here and wreak havoc on an American, helping an American website (Wikipedia), by deleting long-time contributors' entries to the D15B8 engine (a US-only engine that foreigners are unfamiliar with)? Everyone else reading this> Swedish immigration control would ask you the same questions if you traveled there. (they did to me). After over half a decade of edits that have lasted to this day (thankfully most of them undetected by Mr.choppers) it is an atrocity that anyone would label me as a ``vandal``. (who CARES if I have an ``anonymous`` IP address!? who has the time to create or maintain a Wiki profile?? Retired folk? ...``some of us have to work around here``.) In fact it is the opposite one random day, an obnoxious Mr.choppers -a self-deemed WikiHawk- pops up and inappropriately removes/challenges people's edits. Especially my perfect Honda engine edits. When he has no educated backing of any kind. (the dork doesn't even own a car!). His only interest is to pester good and faithful users like myself by dangling long lists of rules in front of people's faces. Mr.choppers -regardless if he has a self-made ``profile`` or not- has proven himself to be a wrench in the gearbox, a cat on the kitchen counter, and obviously nothing less than a Wiki-loser with too much idle time on his hands. This is not Sweden. We don't have NoKo Jeans in the U.S.A. Your cold, immutable, silent, and stoic-striving culture doesn't work here. Nor is it welcome. And if you, Mr.choppers (probably with Knäckebröd crumbs stuck in your clothes) changes any one more of my CORRECT and CONSTRUCTIVE contributions to Wikipedia (the d15b8 engine or otherwise) then I'll seek you out. My d15b8-powered car has been to NY before, and coincidentally soon will again. You and you alone will decide if Manhattan Valley will be added to the list of destinations while in New York State. Mr.choppers you have been warned. Leave my editions alone, or a search for you shall commence.`",0,0,0.24245305
31,701,"`   A barnstar for you!   {| style``background-color #fdffe7; border 1px solid #fceb92;`` |rowspan``2`` style``vertical-align middle; padding 5px;`` |  |style``font-size x-large; padding 3px 3px 0 3px; height 1.5em;`` | The Original Barnstar |- |style``vertical-align middle; padding 3px;`` | Ċọ3ụṛċė3ḷḷ3ẹ1ṣ, y02ou are an arrogant ṣ245345h25245i2452454t. Did you thi7nk you could stop  that qui7ckly? Oh, and you can say thanks to the Wikipedia cheatsheet for 7me? Now, ᵮ294543525234u7435535345345c235235234234234234k o35345344f22453452457f.    |}`",0,0,0.34073174
192,810,     Tunisia pop.  http//www.academia.edu/4137738/Mitochondrial_DNA_and_Y-chromosome_microstructure_in_Tunisia ref for the page being wrong. You don't own the page you don't have to keep going on from it. What interest do you have in this? Stop revisionist everything I do if I have evidence for something you can't just erase what I do. That's not how this works. You don't own Wikipedia or that page it's not your personal website.,0,0,0.13753088
193,811,"   Suggested change of wording to TemplateUw-harass4   In line with the most recent findings of the feminist school of criminology, I suggest that a more accurate phrasing should be, instead of 'harass', 'the next time you purposefully and blatantly RAAAAAAPE!!! a fellow Wikipedian'. ~~~~",0,0,0.23652841
177,240,"  you need some advice. never, and i mean NEVER, go onto someone's talk page and revert the changes they made to their own talk page. that harassment is as bad as spamming, and is NEVER excusable. DO NOT DO IT EVER AGAIN. understood?  ",0,0,0.28116858
178,211,"`Having said all that, it appears that you've been tapped up by her, so all bets are off.  If you'd like to take me to AN/I (yet again) or Arbcom or wherever, please do so, and stop with the pathetic ``threats``.  I'm midway through preparing a rather substantive RFC against Medeis and Bugs, but your intervention could curtail that.  Which is fine, but either way, stop messing me around.  `",0,0,0.28218222
179,213,"   Further  It's quite rude to delete a discussion half way through, when the other person is still drafting a reply to your last comment. Anwyay, it was too good to waste, so here it is  Wow. You mean after three days, with absolutely no updates from the police, it's now dropping down the order of the news? What a really convincing, well thought out, and utterly persausive point to make, to defeat the argument that for the last two days, the arrest was front page news on all serious, credible, international websites. Except Wikipedia. A point made on your talk page. Where nobody will see it. After you closed the section asking for reasons why this was rejected. Yes, I can see why someone like you is going to be baffled by all sorts of things that happen in the real world. You better stick to Wikipedia, I'm thinking this is probably the only place where anyone takes you seriously. It's pretty obvious how you're operating here - you really shouldn't be using word like consensus, not when there are far more appropriate words to describe the way you're trying to influence things here. It's quite clear you personally don't think it should have been news, so you're doing everything in your meagre powers to make that happen. I suppose you can succeed because there just aren't enough honest people here to monitor such things. As we see, asking why certain arguments were apparently listened to, even though they were patently false, gets people nowhere. Certianly not with you around. I'm thinking maybe I chose the wrong poster boy, I think you fit the bill more than 331dot does.   ",0,0,0.17503203
