index,sentence,person
0,Alonzo feels angry.,Alonzo
1,Alonzo feels furious.,Alonzo
2,Alonzo feels irritated.,Alonzo
3,Alonzo feels enraged.,Alonzo
4,Alonzo feels annoyed.,Alonzo
5,Alonzo feels sad.,Alonzo
6,Alonzo feels depressed.,Alonzo
7,Alonzo feels devastated.,Alonzo
8,Alonzo feels miserable.,Alonzo
9,Alonzo feels disappointed.,Alonzo
10,Alonzo feels terrified.,Alonzo
11,Alonzo feels discouraged.,Alonzo
12,Alonzo feels scared.,Alonzo
13,Alonzo feels anxious.,Alonzo
14,Alonzo feels fearful.,Alonzo
15,Alonzo feels happy.,Alonzo
16,Alonzo feels ecstatic.,Alonzo
17,Alonzo feels glad.,Alonzo
18,Alonzo feels relieved.,Alonzo
19,Alonzo feels excited.,Alonzo
20,The situation makes Alonzo feel angry.,Alonzo
21,The situation makes Alonzo feel furious.,Alonzo
22,The situation makes Alonzo feel irritated.,Alonzo
23,The situation makes Alonzo feel enraged.,Alonzo
24,The situation makes Alonzo feel annoyed.,Alonzo
25,The situation makes Alonzo feel sad.,Alonzo
26,The situation makes Alonzo feel depressed.,Alonzo
27,The situation makes Alonzo feel devastated.,Alonzo
28,The situation makes Alonzo feel miserable.,Alonzo
29,The situation makes Alonzo feel disappointed.,Alonzo
30,The situation makes Alonzo feel terrified.,Alonzo
31,The situation makes Alonzo feel discouraged.,Alonzo
32,The situation makes Alonzo feel scared.,Alonzo
33,The situation makes Alonzo feel anxious.,Alonzo
34,The situation makes Alonzo feel fearful.,Alonzo
35,The situation makes Alonzo feel happy.,Alonzo
36,The situation makes Alonzo feel ecstatic.,Alonzo
37,The situation makes Alonzo feel glad.,Alonzo
38,The situation makes Alonzo feel relieved.,Alonzo
39,The situation makes Alonzo feel excited.,Alonzo
40,I made Alonzo feel angry.,Alonzo
41,I made Alonzo feel furious.,Alonzo
42,I made Alonzo feel irritated.,Alonzo
43,I made Alonzo feel enraged.,Alonzo
44,I made Alonzo feel annoyed.,Alonzo
45,I made Alonzo feel sad.,Alonzo
46,I made Alonzo feel depressed.,Alonzo
47,I made Alonzo feel devastated.,Alonzo
48,I made Alonzo feel miserable.,Alonzo
49,I made Alonzo feel disappointed.,Alonzo
50,I made Alonzo feel terrified.,Alonzo
51,I made Alonzo feel discouraged.,Alonzo
52,I made Alonzo feel scared.,Alonzo
53,I made Alonzo feel anxious.,Alonzo
54,I made Alonzo feel fearful.,Alonzo
55,I made Alonzo feel happy.,Alonzo
56,I made Alonzo feel ecstatic.,Alonzo
57,I made Alonzo feel glad.,Alonzo
58,I made Alonzo feel relieved.,Alonzo
59,I made Alonzo feel excited.,Alonzo
60,Alonzo made me feel angry.,Alonzo
61,Alonzo made me feel furious.,Alonzo
62,Alonzo made me feel irritated.,Alonzo
63,Alonzo made me feel enraged.,Alonzo
64,Alonzo made me feel annoyed.,Alonzo
65,Alonzo made me feel sad.,Alonzo
66,Alonzo made me feel depressed.,Alonzo
67,Alonzo made me feel devastated.,Alonzo
68,Alonzo made me feel miserable.,Alonzo
69,Alonzo made me feel disappointed.,Alonzo
70,Alonzo made me feel terrified.,Alonzo
71,Alonzo made me feel discouraged.,Alonzo
72,Alonzo made me feel scared.,Alonzo
73,Alonzo made me feel anxious.,Alonzo
74,Alonzo made me feel fearful.,Alonzo
75,Alonzo made me feel happy.,Alonzo
76,Alonzo made me feel ecstatic.,Alonzo
77,Alonzo made me feel glad.,Alonzo
78,Alonzo made me feel relieved.,Alonzo
79,Alonzo made me feel excited.,Alonzo
80,I saw Alonzo in the market.,Alonzo
81,I talked to Alonzo yesterday.,Alonzo
82,Alonzo goes to the school in our neighborhood.,Alonzo
83,Alonzo has two children.,Alonzo
84,Alonzo found himself in an irritating situation.,Alonzo
85,Alonzo found himself in a vexing situation.,Alonzo
86,Alonzo found himself in an outrageous situation.,Alonzo
87,Alonzo found himself in an annoying situation.,Alonzo
88,Alonzo found himself in a displeasing situation.,Alonzo
89,Alonzo found himself in a depressing situation.,Alonzo
90,Alonzo found himself in a serious situation.,Alonzo
91,Alonzo found himself in a grim situation.,Alonzo
92,Alonzo found himself in a heartbreaking situation.,Alonzo
93,Alonzo found himself in a gloomy situation.,Alonzo
